Acropora2085	K17597
Acropora2036	K15208
Acropora5587	K17362
Acropora23180	K05850
Acropora48850	K19025
Acropora63608	K25607
Acropora20848	K25642
Acropora64008	K24634
Acropora12735	K01444
Acropora30333	K08176
Acropora444	K05863
Acropora9100	K11124
Acropora5613	K18628
Acropora5156	K24841
Acropora1427	K24338
Acropora27533	K14379
Acropora46384	K02599
Acropora64084	K04615
Acropora48146	K13761
Acropora6276	K01080
Acropora43653	K06794
Acropora62600	K09503
Acropora40500	K24936
Acropora5967	K06643
Acropora4385	K01052
Acropora5278	K23114
Acropora21752	K01414
Acropora58796	K07427
Acropora53334	K10419
Acropora25773	K02868
Acropora21400	K14683
Acropora79081	K14439
Acropora28998	K08056
Acropora48427	K11269
Acropora12709	K15191
Acropora81011	K20876
Acropora84216	K00876
Acropora58178	K05849
Acropora21598	K24763
Acropora9563	K11209
Acropora93159	K10408
Acropora4831	K26167
Acropora11663	K01648
Acropora32142	K11655
Acropora21568	K01803
Acropora22513	K08465
Acropora70591	K01200
Acropora35884	K12856
Acropora28421	K02331
Acropora21561	K15436
Acropora54129	K08678
Acropora22324	K15259
Acropora16884	K01408
Acropora9259	K12132
Acropora19132	K09881
Acropora4862	K14165
Acropora53769	K13412
Acropora25433	K02330
Acropora28238	K08960
Acropora9792	K12968
Acropora3366	K01785
Acropora18296	K00471
Acropora35156	K03935
Acropora8625	K15559
Acropora4271	K24032
Acropora4829	K12035
Acropora9342	K11088
Acropora32679	K06252
Acropora30340	K24205
Acropora37696	K16506
Acropora7966	K10578
Acropora2617	K11204
Acropora10787	K14833
Acropora20062	K04733
Acropora26206	K19467
Acropora37594	K12380
Acropora9404	K10688
Acropora10895	K10807
Acropora71079	K02861
Acropora37502	K00471
Acropora82243	K12035
Acropora60903	K10521
Acropora52528	K10408
Acropora61906	K24175
Acropora34874	K13046
Acropora2565	K00626
Acropora24014	K01760
Acropora9542	K03068
Acropora43871	K00605
Acropora51239	K01077
Acropora32417	K07304
Acropora21982	K04362
Acropora36166	K01208
Acropora66017	K01869
Acropora4707	K14383
Acropora25935	K18739
Acropora5014	K11224
Acropora67583	K06943
Acropora6089	K08515
Acropora21635	K08076
Acropora16815	K08151
Acropora19300	K23617
Acropora86018	K08869
Acropora67024	K17302
Acropora9680	K00699
Acropora48338	K13412
Acropora17769	K21841
Acropora17887	K19327
Acropora36271	K05658
Acropora30167	K01365
Acropora74271	K24794
Acropora12839	K23113
Acropora25820	K19909
Acropora87068	K14855
Acropora30245	K02599
Acropora24049	K04984
Acropora10004	K19677
Acropora65594	K09584
Acropora39329	K14326
Acropora8230	K14525
Acropora48816	K04720
Acropora18160	K01368
Acropora21259	K09553
Acropora1844	K24498
Acropora27655	K22803
Acropora10379	K10418
Acropora1548	K24937
Acropora51352	K17279
Acropora17052	K10457
Acropora11766	K00548
Acropora47417	K14216
Acropora21671	K13205
Acropora8195	K06530
Acropora71553	K01874
Acropora78211	K08857
Acropora35539	K05931
Acropora36636	K11887
Acropora20699	K24298
Acropora50492	K03462
Acropora22535	K17419
Acropora17279	K15302
Acropora65570	K01076
Acropora67321	K02993
Acropora20534	K01196
Acropora8968	K24936
Acropora21656	K20294
Acropora21046	K17943
Acropora62011	K10736
Acropora29752	K23964
Acropora30098	K00710
Acropora34657	K24175
Acropora30795	K07375
Acropora72602	K04851
Acropora72619	K06530
Acropora51478	K07588
Acropora26233	K17300
Acropora7957	K00681
Acropora11717	K13708
Acropora36558	K10743
Acropora14797	K12812
Acropora51482	K07376
Acropora45790	K05665
Acropora45619	K05194
Acropora26248	K05692
Acropora2714	K03456
Acropora50283	K09228
Acropora2911	K03943
Acropora63627	K12604
Acropora31871	K13139
Acropora8915	K02925
Acropora45185	K17301
Acropora82022	K17508
Acropora32163	K05657
Acropora30019	K14708
Acropora76821	K04615
Acropora45816	K17849
Acropora9644	K24683
Acropora12063	K03138
Acropora37053	K14439
Acropora51927	K02492
Acropora52110	K06269
Acropora3306	K10586
Acropora21061	K11718
Acropora23580	K23732
Acropora61053	K01188
Acropora9144	K10457
Acropora18575	K18416
Acropora60899	K11804
Acropora45582	K25608
Acropora27629	K17570
Acropora12028	K24404
Acropora88212	K08734
Acropora21697	K10992
Acropora85359	K23438
Acropora17741	K16733
Acropora1132	K02738
Acropora27500	K04239
Acropora746	K07192
Acropora77047	K12441
Acropora46242	K22888
Acropora23517	K11449
Acropora10695	K07195
Acropora10274	K12309
Acropora17724	K05673
Acropora9158	K00569
Acropora43535	K01803
Acropora6843	K26226
Acropora954	K14943
Acropora1855	K04521
Acropora33052	K11143
Acropora33816	K01736
Acropora52174	K18274
Acropora10204	K14302
Acropora20254	K24934
Acropora16379	K05094
Acropora43783	K13273
Acropora7650	K01415
Acropora17759	K20298
Acropora68401	K00981
Acropora7147	K00248
Acropora87970	K05681
Acropora83448	K24317
Acropora12202	K10408
Acropora39	K02993
Acropora29295	K04739
Acropora895	K10704
Acropora8402	K16833
Acropora27011	K04286
Acropora54076	K09560
Acropora73356	K00128
Acropora34601	K01624
Acropora21549	K03660
Acropora52416	K02087
Acropora42579	K07497
Acropora18066	K09230
Acropora29181	K17616
Acropora15841	K10841
Acropora74067	K02519
Acropora7191	K18179
Acropora40496	K03164
Acropora52693	K20302
Acropora11493	K15166
Acropora49398	K04600
Acropora40260	K11415
Acropora23392	K10809
Acropora15592	K20003
Acropora21617	K15451
Acropora16852	K10728
Acropora3926	K03163
Acropora20515	K25204
Acropora3461	K03950
Acropora6156	K02910
Acropora87308	K03144
Acropora42765	K02599
Acropora33652	K04905
Acropora12424	K01869
Acropora2614	K09106
Acropora14384	K22531
Acropora10113	K02958
Acropora43602	K04464
Acropora49456	K19882
Acropora32511	K26544
Acropora79061	K01866
Acropora34649	K00609
Acropora20463	K13864
Acropora39811	K03695
Acropora75140	K17491
Acropora76754	K08957
Acropora41598	K01897
Acropora262	K22453
Acropora25241	K06711
Acropora29806	K22647
Acropora5679	K10416
Acropora50636	K07759
Acropora74400	K01749
Acropora18014	K14550
Acropora41457	K00703
Acropora34482	K25219
Acropora9793	K00710
Acropora4533	K12272
Acropora7085	K08892
Acropora36993	K00574
Acropora2664	K17346
Acropora9391	K11262
Acropora88956	K16603
Acropora9576	K08333
Acropora3329	K24006
Acropora13784	K10594
Acropora26962	K01648
Acropora2189	K04131
Acropora20727	K13105
Acropora22429	K10175
Acropora5480	K04450
Acropora76778	K18166
Acropora28865	K04984
Acropora57415	K14819
Acropora7037	K17592
Acropora59339	K14947
Acropora80437	K05768
Acropora38901	K05181
Acropora1657	K25636
Acropora17980	K24982
Acropora28333	K25900
Acropora15938	K05208
Acropora6012	K01016
Acropora10426	K14347
Acropora90453	K01990
Acropora18971	K09699
Acropora15609	K22987
Acropora31683	K08884
Acropora1096	K10382
Acropora89915	K16669
Acropora71202	K10396
Acropora73593	K04594
Acropora18446	K18438
Acropora21789	K23222
Acropora30785	K21989
Acropora24402	K12132
Acropora55726	K21862
Acropora42041	K17630
Acropora78323	K04739
Acropora19628	K01689
Acropora2885	K09396
Acropora28026	K08669
Acropora74100	K01897
Acropora44776	K10408
Acropora7895	K07190
Acropora8411	K15293
Acropora948	K03671
Acropora54404	K10408
Acropora56415	K02320
Acropora3047	K08908
Acropora35927	K13208
Acropora83213	K01067
Acropora44510	K03704
Acropora16974	K10408
Acropora27545	K13126
Acropora3694	K15183
Acropora9465	K04611
Acropora37509	K09214
Acropora32889	K12573
Acropora86268	K15422
Acropora55131	K00465
Acropora72007	K21767
Acropora87858	K13403
Acropora17025	K03762
Acropora13287	K14305
Acropora1180	K22282
Acropora73978	K08857
Acropora19201	K03902
Acropora287	K02980
Acropora22714	K17525
Acropora27685	K17418
Acropora58367	K04688
Acropora44872	K00128
Acropora28538	K25647
Acropora56769	K13507
Acropora20155	K11536
Acropora5829	K23855
Acropora8475	K10414
Acropora34286	K24431
Acropora74331	K19755
Acropora68549	K09773
Acropora72203	K23424
Acropora38406	K01179
Acropora44270	K23562
Acropora13476	K26554
Acropora29926	K06825
Acropora2660	K03627
Acropora21662	K23491
Acropora41540	K10357
Acropora8936	K14777
Acropora16989	K01509
Acropora23738	K20098
Acropora26377	K04802
Acropora62473	K08375
Acropora47460	K09070
Acropora44161	K02599
Acropora19663	K11546
Acropora6364	K00943
Acropora8458	K02890
Acropora16621	K09608
Acropora16701	K10185
Acropora12070	K22827
Acropora22721	K26160
Acropora8782	K12589
Acropora40738	K09667
Acropora37270	K21396
Acropora10356	K22864
Acropora10816	K10392
Acropora58289	K11268
Acropora23922	K15305
Acropora18733	K24098
Acropora82251	K14536
Acropora71218	K20093
Acropora9828	K12625
Acropora8517	K17822
Acropora11894	K15110
Acropora52601	K17341
Acropora20864	K09656
Acropora22697	K12504
Acropora68387	K01462
Acropora52259	K17824
Acropora44306	K13113
Acropora55638	K06188
Acropora66938	K21053
Acropora58923	K03798
Acropora8274	K13095
Acropora72756	K06115
Acropora73455	K00108
Acropora24719	K09627
Acropora82418	K03294
Acropora22646	K01507
Acropora13664	K15433
Acropora23766	K25460
Acropora3359	K00016
Acropora53584	K02183
Acropora6123	K02962
Acropora4200	K16848
Acropora21686	K15075
Acropora40275	K14209
Acropora4529	K24990
Acropora55863	K03061
Acropora8406	K08375
Acropora65160	K14572
Acropora6685	K00131
Acropora27866	K09521
Acropora2008	K04079
Acropora36900	K01869
Acropora23362	K14409
Acropora6593	K07375
Acropora10439	K24964
Acropora63676	K04240
Acropora3507	K04658
Acropora6655	K03951
Acropora87265	K06180
Acropora19091	K04136
Acropora25445	K10457
Acropora9713	K19755
Acropora34349	K13049
Acropora32139	K24470
Acropora10330	K19683
Acropora8976	K05398
Acropora13970	K01738
Acropora57494	K10405
Acropora31792	K24469
Acropora8627	K20653
Acropora40143	K24835
Acropora8010	K12260
Acropora82839	K19998
Acropora51186	K24193
Acropora27523	K16759
Acropora13189	K04512
Acropora26823	K15259
Acropora51489	K10409
Acropora2856	K23406
Acropora13016	K20182
Acropora88430	K15363
Acropora8320	K06943
Acropora3732	K01724
Acropora5953	K12866
Acropora31841	K19756
Acropora40156	K25548
Acropora25477	K10408
Acropora48544	K01682
Acropora64362	K03978
Acropora65788	K13526
Acropora81769	K04851
Acropora4876	K09048
Acropora44633	K01648
Acropora66851	K02677
Acropora73807	K14963
Acropora3663	K12897
Acropora39003	K00116
Acropora17225	K11271
Acropora16660	K11488
Acropora28382	K15167
Acropora34976	K01875
Acropora44438	K08375
Acropora15697	K09421
Acropora14356	K22324
Acropora34114	K06640
Acropora93237	K26437
Acropora20511	K15260
Acropora13646	K24942
Acropora23253	K06564
Acropora1582	K01206
Acropora30642	K09848
Acropora13163	K00108
Acropora76274	K09571
Acropora3630	K02920
Acropora5620	K17592
Acropora30960	K18561
Acropora10568	K07209
Acropora14421	K16506
Acropora13493	K09666
Acropora82727	K17499
Acropora14223	K18628
Acropora87335	K24427
Acropora12846	K11306
Acropora38373	K14141
Acropora79660	K24734
Acropora10964	K03000
Acropora28838	K02985
Acropora44102	K01398
Acropora29905	K04958
Acropora6997	K25439
Acropora47644	K10380
Acropora8917	K17929
Acropora10386	K24272
Acropora42804	K11997
Acropora798	K19721
Acropora4135	K21891
Acropora16303	K08606
Acropora5741	K16726
Acropora8173	K19863
Acropora1663	K11251
Acropora50380	K08341
Acropora85678	K05605
Acropora5262	K07763
Acropora61115	K05673
Acropora47374	K17849
Acropora10325	K02984
Acropora3784	K11149
Acropora18199	K20411
Acropora9315	K26229
Acropora3086	K02364
Acropora70201	K09207
Acropora23548	K07198
Acropora8644	K00939
Acropora83367	K04487
Acropora52950	K03555
Acropora83199	K03596
Acropora5631	K04150
Acropora3910	K00006
Acropora16298	K09680
Acropora62506	K01195
Acropora4616	K08823
Acropora4887	K10482
Acropora1121	K12309
Acropora2903	K11352
Acropora48628	K08180
Acropora1251	K07380
Acropora13967	K14862
Acropora5822	K03009
Acropora1894	K21772
Acropora3873	K11536
Acropora4957	K01679
Acropora17900	K21763
Acropora2778	K17341
Acropora14921	K17943
Acropora50962	K13956
Acropora50075	K00029
Acropora17497	K22763
Acropora91697	K01673
Acropora34707	K18066
Acropora22782	K00387
Acropora28232	K18660
Acropora15074	K25168
Acropora45966	K03762
Acropora22403	K01672
Acropora86153	K04950
Acropora22386	K09634
Acropora32177	K15100
Acropora34774	K05592
Acropora18421	K01251
Acropora38305	K21396
Acropora74714	K22182
Acropora46653	K16353
Acropora6192	K10418
Acropora59495	K19526
Acropora3444	K16866
Acropora12593	K07517
Acropora21039	K24502
Acropora36683	K11273
Acropora49909	K05708
Acropora8711	K15109
Acropora21032	K08855
Acropora35652	K12132
Acropora10973	K13159
Acropora11032	K14548
Acropora27136	K18703
Acropora76871	K08794
Acropora20238	K24083
Acropora75475	K11699
Acropora3029	K08076
Acropora48165	K03062
Acropora38582	K05656
Acropora44795	K14073
Acropora30842	K10599
Acropora91532	K06642
Acropora17536	K07566
Acropora71827	K13289
Acropora16600	K18628
Acropora89643	K02335
Acropora72993	K10900
Acropora4530	K08810
Acropora31707	K24734
Acropora14315	K17592
Acropora19317	K02350
Acropora60769	K00057
Acropora3142	K23026
Acropora26898	K07874
Acropora10843	K22755
Acropora5864	K02922
Acropora13886	K23424
Acropora1778	K07365
Acropora15326	K10871
Acropora10678	K06236
Acropora2480	K03265
Acropora18306	K23047
Acropora16916	K17341
Acropora16168	K06564
Acropora35729	K04578
Acropora4351	K08765
Acropora32394	K19760
Acropora6753	K18529
Acropora85572	K14863
Acropora9870	K25605
Acropora56259	K08035
Acropora33620	K00873
Acropora13935	K07375
Acropora291	K02637
Acropora5576	K15010
Acropora29478	K08076
Acropora14590	K01969
Acropora9182	K00128
Acropora34592	K17547
Acropora26921	K23847
Acropora70712	K04607
Acropora5937	K01880
Acropora61256	K01254
Acropora15356	K08137
Acropora23034	K00163
Acropora83548	K04909
Acropora34124	K11273
Acropora5331	K01623
Acropora48276	K03648
Acropora62049	K17592
Acropora36236	K12827
Acropora24544	K08132
Acropora12704	K05110
Acropora25030	K14289
Acropora54726	K08794
Acropora13112	K02886
Acropora24923	K13336
Acropora86845	K11435
Acropora30689	K12323
Acropora81147	K01873
Acropora37097	K07241
Acropora25597	K14616
Acropora15845	K17065
Acropora349	K02704
Acropora2500	K07918
Acropora2654	K00856
Acropora57522	K03991
Acropora903	K23901
Acropora16954	K05925
Acropora84240	K00850
Acropora8529	K23532
Acropora11014	K13515
Acropora54495	K19589
Acropora22686	K09510
Acropora14647	K17943
Acropora12574	K01052
Acropora50527	K19676
Acropora8116	K02367
Acropora14765	K00939
Acropora1424	K22758
Acropora26475	K16667
Acropora39014	K08796
Acropora15875	K11662
Acropora8601	K05502
Acropora3039	K09495
Acropora15523	K02935
Acropora4046	K06777
Acropora14237	K11536
Acropora19499	K11847
Acropora63700	K03798
Acropora49543	K12820
Acropora34648	K02731
Acropora56286	K24506
Acropora1163	K16342
Acropora20134	K13194
Acropora8496	K08826
Acropora54654	K01760
Acropora13233	K03849
Acropora45445	K15706
Acropora45508	K10406
Acropora2981	K00232
Acropora1516	K06170
Acropora17188	K09458
Acropora22956	K23025
Acropora34960	K00814
Acropora15297	K06133
Acropora75235	K01278
Acropora38542	K03868
Acropora20451	K24846
Acropora86766	K08155
Acropora49144	K16743
Acropora46932	K00820
Acropora5049	K20372
Acropora22308	K10455
Acropora3417	K03768
Acropora27561	K02541
Acropora1367	K02730
Acropora77233	K15503
Acropora54007	K22900
Acropora79914	K18283
Acropora15456	K18164
Acropora22709	K01948
Acropora71549	K23029
Acropora11867	K19532
Acropora6962	K24690
Acropora48045	K10420
Acropora93282	K04615
Acropora66881	K16506
Acropora16627	K23908
Acropora71991	K23317
Acropora57347	K04834
Acropora5807	K02908
Acropora18933	K18561
Acropora69159	K04358
Acropora84184	K07393
Acropora22105	K10598
Acropora34248	K12852
Acropora36313	K08808
Acropora83699	K01214
Acropora70485	K05656
Acropora81527	K08869
Acropora8693	K16603
Acropora25607	K19751
Acropora10911	K02985
Acropora11553	K23290
Acropora27174	K11793
Acropora32207	K07497
Acropora31373	K04460
Acropora9262	K06086
Acropora47449	K25177
Acropora27620	K25554
Acropora3075	K06238
Acropora34414	K11497
Acropora47099	K00314
Acropora20972	K07632
Acropora52205	K06911
Acropora79447	K12393
Acropora9484	K17492
Acropora18135	K01346
Acropora81988	K00477
Acropora16583	K13706
Acropora23286	K04594
Acropora10600	K13539
Acropora66791	K15503
Acropora69828	K12813
Acropora9839	K17257
Acropora66678	K10297
Acropora25421	K16578
Acropora29037	K14549
Acropora15688	K01121
Acropora42716	K15503
Acropora5233	K01076
Acropora54093	K17267
Acropora50553	K04533
Acropora3338	K08630
Acropora3174	K05869
Acropora1783	K02734
Acropora35182	K01527
Acropora53978	K25656
Acropora907	K23539
Acropora29562	K01476
Acropora82158	K13179
Acropora24312	K04422
Acropora10840	K16682
Acropora39081	K08635
Acropora44803	K25552
Acropora11719	K01322
Acropora10302	K13701
Acropora63262	K00164
Acropora8817	K22754
Acropora21878	K10270
Acropora13419	K01148
Acropora13105	K15537
Acropora39144	K14191
Acropora79582	K03377
Acropora30174	K01689
Acropora41407	K08794
Acropora44191	K00943
Acropora10701	K04605
Acropora60817	K11273
Acropora4824	K26101
Acropora28773	K08375
Acropora2637	K08738
Acropora7669	K01836
Acropora5469	K07556
Acropora6431	K07204
Acropora5548	K12848
Acropora17139	K10408
Acropora85984	K05312
Acropora92846	K05312
Acropora19107	K11836
Acropora34750	K25441
Acropora24955	K10737
Acropora75864	K02427
Acropora20281	K07466
Acropora24727	K25004
Acropora59758	K08827
Acropora683	K24792
Acropora16335	K10593
Acropora71813	K26125
Acropora2206	K07903
Acropora7618	K19757
Acropora77026	K06760
Acropora13766	K00758
Acropora4277	K02947
Acropora39685	K16550
Acropora47952	K25291
Acropora14849	K02183
Acropora1800	K07874
Acropora84060	K00387
Acropora10810	K02932
Acropora13078	K01802
Acropora11837	K13617
Acropora3654	K09659
Acropora79573	K04139
Acropora404	K19363
Acropora1342	K09109
Acropora57743	K06494
Acropora31907	K04515
Acropora32307	K09188
Acropora86642	K01689
Acropora9652	K25817
Acropora33971	K16550
Acropora52535	K20279
Acropora30660	K11997
Acropora4397	K06271
Acropora7763	K17943
Acropora36763	K03164
Acropora31511	K02889
Acropora24805	K24333
Acropora45902	K24175
Acropora17767	K06052
Acropora9976	K17921
Acropora16400	K04648
Acropora8324	K15685
Acropora24002	K10418
Acropora91062	K13412
Acropora6749	K25877
Acropora31150	K06114
Acropora71404	K01537
Acropora74174	K00766
Acropora41311	K12440
Acropora81839	K03773
Acropora35049	K10747
Acropora14821	K04659
Acropora15564	K06753
Acropora20167	K18730
Acropora15628	K19636
Acropora57633	K14816
Acropora31331	K02886
Acropora14543	K00703
Acropora78122	K05658
Acropora28843	K14616
Acropora14815	K07583
Acropora54302	K23014
Acropora10552	K21422
Acropora44263	K17573
Acropora55612	K19491
Acropora40834	K03242
Acropora13753	K15309
Acropora93605	K02358
Acropora12213	K23334
Acropora71386	K06990
Acropora38222	K03555
Acropora83584	K10407
Acropora71579	K24759
Acropora52495	K19932
Acropora11428	K20282
Acropora32217	K26585
Acropora34687	K22377
Acropora46691	K04978
Acropora93839	K13412
Acropora6959	K10277
Acropora19002	K20174
Acropora13542	K25168
Acropora4898	K00613
Acropora11574	K11291
Acropora32226	K14001
Acropora55460	K08624
Acropora3427	K03952
Acropora52318	K00383
Acropora38695	K09339
Acropora1293	K23589
Acropora5708	K22745
Acropora26460	K16767
Acropora63030	K06676
Acropora16790	K08507
Acropora38458	K24357
Acropora3582	K02737
Acropora7493	K15837
Acropora51228	K04371
Acropora62456	K00108
Acropora34459	K03404
Acropora741	K01251
Acropora76045	K01869
Acropora51418	K01278
Acropora8571	K05148
Acropora71948	K08739
Acropora76541	K08794
Acropora68277	K01428
Acropora14109	K01968
Acropora64900	K10798
Acropora29570	K11687
Acropora7428	K19328
Acropora70859	K04628
Acropora11130	K14005
Acropora3485	K13280
Acropora57478	K06252
Acropora44286	K15440
Acropora52073	K10402
Acropora42858	K08794
Acropora5539	K01890
Acropora44451	K17820
Acropora69399	K01412
Acropora59632	K00926
Acropora5674	K00654
Acropora51985	K03773
Acropora15908	K16462
Acropora5504	K13171
Acropora18989	K03068
Acropora5665	K01267
Acropora135	K02966
Acropora39336	K07542
Acropora2564	K02295
Acropora36923	K05661
Acropora40784	K15272
Acropora12705	K24053
Acropora5378	K23566
Acropora18460	K19382
Acropora5840	K25165
Acropora27813	K04851
Acropora62942	K05312
Acropora832	K17751
Acropora17096	K09488
Acropora47979	K11375
Acropora2157	K03320
Acropora44435	K10349
Acropora38827	K17943
Acropora7201	K14961
Acropora32311	K00615
Acropora27895	K01301
Acropora3997	K06841
Acropora62368	K00645
Acropora5973	K15111
Acropora23407	K03737
Acropora93654	K10176
Acropora11854	K13859
Acropora10019	K25165
Acropora26522	K06524
Acropora58216	K00826
Acropora38633	K04266
Acropora91644	K13679
Acropora42272	K01275
Acropora48007	K04892
Acropora92685	K04468
Acropora29626	K09874
Acropora789	K04362
Acropora8891	K26404
Acropora23975	K21413
Acropora23134	K05330
Acropora10334	K08819
Acropora81427	K10601
Acropora14859	K16746
Acropora43860	K24429
Acropora16489	K12233
Acropora324	K25449
Acropora30820	K17509
Acropora47536	K13051
Acropora12027	K08908
Acropora6900	K00966
Acropora9775	K03132
Acropora331	K00789
Acropora72045	K07889
Acropora86996	K01283
Acropora33174	K00645
Acropora2796	K19862
Acropora85	K13443
Acropora11600	K13140
Acropora42540	K15707
Acropora3457	K17307
Acropora80720	K10400
Acropora40264	K04854
Acropora28436	K20474
Acropora1793	K11726
Acropora4793	K23588
Acropora10121	K06030
Acropora18017	K10350
Acropora29	K02940
Acropora64668	K00645
Acropora2462	K03257
Acropora10093	K01682
Acropora24388	K05302
Acropora74647	K06678
Acropora72284	K05665
Acropora29545	K03355
Acropora36495	K04739
Acropora9538	K07756
Acropora12818	K13699
Acropora20880	K07126
Acropora29629	K04612
Acropora3203	K18274
Acropora19314	K05502
Acropora18067	K18055
Acropora17650	K13619
Acropora13173	K01201
Acropora83522	K11188
Acropora10538	K13855
Acropora50413	K15015
Acropora89286	K06995
Acropora5374	K02941
Acropora27903	K22390
Acropora19391	K06990
Acropora77875	K10436
Acropora14573	K26242
Acropora29523	K02335
Acropora14428	K03686
Acropora7713	K09038
Acropora13538	K14416
Acropora24068	K24822
Acropora39906	K08375
Acropora28368	K14964
Acropora37208	K02541
Acropora37816	K00383
Acropora21818	K00411
Acropora19730	K10408
Acropora15493	K15424
Acropora25137	K17547
Acropora7864	K22827
Acropora4897	K10256
Acropora914	K00025
Acropora30339	K10408
Acropora53469	K12856
Acropora38772	K12460
Acropora7203	K04144
Acropora33682	K01756
Acropora4810	K03068
Acropora9373	K04688
Acropora30402	K02991
Acropora40735	K10380
Acropora79667	K06716
Acropora16327	K03783
Acropora15743	K06100
Acropora50522	K04079
